日期,处理水量(m³),电耗(kWh),PAC投加量(kg),PAM投加量(kg),次氯酸钠投加量(kg),进水COD(mg/L),出水COD(mg/L),进水TN(mg/L),出水TN(mg/L),自来水(m³/d),脱水污泥外运量(80%),N2O_emission,N2O_CO2eq,COD_removed,CH4_emission,CH4_CO2eq,臭氧投加量(kg),energy_CO2eq,PAC_CO2eq,PAM_CO2eq,NaClO_CO2eq,O3_CO2eq,chemicals_CO2eq,pre_CO2eq,bio_CO2eq,depth_CO2eq,sludge_CO2eq,effluent_CO2eq,deodorization_CO2eq,total_CO2eq,carbon_efficiency
2018-01-01,10700.0,3998.0,205.0,49.0,122.0,261.4,41.6,46.1,12.8,535.0,11.0,8.958651428571427,2445.7118399999995,2351.86,1.7638950000000002,49.2126705,0,3524.2369999999996,332.1,73.5,112.24000000000001,0.0,517.84,1125.2888740999997,4064.2672465999995,924.8893735,178.6788159,236.82872639999997,94.09712789999999,6624.050164399999,1.6153259311811383
2018-01-02,9828.0,3656.0,183.0,52.0,112.0,270.6,37.7,47.5,9.5,491.0,10.0,9.389952,2563.4568959999997,2288.9412,1.7167059000000002,47.896094610000006,0,3222.7639999999997,296.46000000000004,78.0,103.04,0.0,477.50000000000006,1029.0285451999998,4046.4497998099996,849.7292420000001,163.3941348,216.56974079999998,86.0477988,6391.2192614099995,1.5377347573320141
2018-01-03,10445.0,4023.0,233.0,60.0,120.0,263.8,41.7,44.2,11.7,522.0,10.0,8.535057142857143,2330.0706,2319.8345000000004,1.7398758750000003,48.542536912500005,0,3546.2745,377.46000000000004,90.0,110.4,0.0,577.86,1132.3254478499998,3957.7691717625003,987.45470475,179.79611715000001,238.3096464,94.68552915000001,6590.3406170625,1.5848953198196953
2018-01-04,10367.0,3360.0,204.0,63.0,119.0,274.4,44.5,46.5,13.1,518.0,10.0,8.705910399999999,2376.7135391999996,2383.3732999999997,1.7875299749999998,49.872086302499994,0,2961.8399999999997,330.48,94.5,109.48,0.0,534.46,945.7155119999999,3745.4929775024993,876.55252,150.165288,199.03564799999998,79.08112799999999,5996.043073502499,1.7289735702222484
2018-01-05,10461.0,3273.0,192.0,49.0,120.0,281.4,43.0,50.6,11.2,523.0,10.0,10.362965485714287,2829.0895776000007,2493.9024,1.8704268,52.18490772,0,2885.1495,311.04,73.5,110.4,0.0,494.94000000000005,921.2282353499999,4166.03155767,828.1747672500001,146.27707965000002,193.88204639999998,77.03349165,6332.627177969999,1.6519210283516803
2018-01-06,10701.0,3647.0,219.0,45.0,123.0,274.5,40.8,47.0,12.2,535.0,11.0,9.363069257142858,2556.1179072,2500.8237,1.875617775,52.3297359225,0,3214.8305,354.78000000000003,67.5,113.16000000000001,0.0,535.44,1026.49537865,4040.0116647725,906.7529227500002,162.99190635000002,216.0366096,85.83597435,6438.124456472499,1.662130030624348
2018-01-07,10174.0,3317.0,214.0,46.0,118.0,275.9,39.1,51.4,14.5,509.0,10.0,9.439146514285714,2576.8869984,2409.2032,1.8069024,50.412576959999996,0,2923.9355,346.68,69.0,108.56,0.0,524.24,933.6126051499999,3929.32805351,861.95455025,148.24352985000002,196.48846559999998,78.06907785,6147.696282210001,1.6549288600091032
2018-01-08,10312.0,3646.0,176.0,46.0,119.0,302.0,52.1,48.1,10.3,516.0,10.0,9.8005248,2675.5432704,2576.9688,1.9327266,53.92307214,0,3213.9489999999996,285.12,69.0,109.48,0.0,463.6,1026.2139156999997,4160.63783224,834.8111094999999,162.94721429999998,215.97737279999996,85.8124383,6486.399882840001,1.589787892553581
2018-01-09,9643.0,3278.0,167.0,49.0,112.0,282.8,44.0,48.0,11.1,482.0,10.0,8.946499885714285,2442.3944687999997,2302.7484,1.7270613,48.18501026999999,0,2889.557,270.54,73.5,103.04,0.0,447.08000000000004,922.6355500999998,3777.2992111699996,780.8238335000001,146.5005399,194.17823039999996,77.1511719,5898.588536969999,1.6347978740272395
2018-01-10,10126.0,3680.0,184.0,34.0,118.0,262.9,35.7,43.3,9.5,506.0,10.0,8.605364114285715,2349.2644032000003,2300.6272,1.7254704,48.14062416,0,3243.9199999999996,298.08000000000004,51.0,108.56,0.0,457.64000000000004,1035.7836559999998,3841.92260336,832.31276,164.46674399999998,217.99142399999997,86.612664,6179.08985136,1.6387526712807545
